指数名称,当前点数,当前价格,涨跌率,成交量（手）,成交额（万元）,日期,时间
深证成指,0.00,0.000,0.00,0,0,2018-05-03,09:24:58
深证成指,10329.16,-13.685,-0.13,942314,128274,2018-05-03,09:29:57
深证成指,10326.25,-16.599,-0.16,1636037,216800,2018-05-03,09:30:02
深证成指,10323.04,-19.807,-0.19,2014801,272344,2018-05-03,09:30:07
深证成指,10320.04,-22.811,-0.22,2154648,291867,2018-05-03,09:30:12
深证成指,10319.81,-23.039,-0.22,2272599,307351,2018-05-03,09:30:17
深证成指,10317.13,-25.718,-0.25,2397587,323974,2018-05-03,09:30:22
深证成指,10316.04,-26.803,-0.26,2467702,332944,2018-05-03,09:30:27
深证成指,10314.12,-28.722,-0.28,2621932,352276,2018-05-03,09:30:32
深证成指,10313.42,-29.426,-0.28,2772237,370551,2018-05-03,09:30:37
深证成指,10311.70,-31.146,-0.30,2842166,379902,2018-05-03,09:30:42
深证成指,10310.58,-32.264,-0.31,2987710,398181,2018-05-03,09:30:47
深证成指,10308.33,-34.518,-0.33,3132088,417678,2018-05-03,09:30:52
深证成指,10308.72,-34.128,-0.33,3203357,426936,2018-05-03,09:30:58
深证成指,10307.45,-35.396,-0.34,3350445,445706,2018-05-03,09:31:03
深证成指,10307.51,-35.331,-0.34,3494741,465694,2018-05-03,09:31:08
深证成指,10307.12,-35.727,-0.35,3573687,476286,2018-05-03,09:31:13
深证成指,10307.00,-35.844,-0.35,3730879,497164,2018-05-03,09:31:18
深证成指,10307.51,-35.336,-0.34,3870738,516910,2018-05-03,09:31:23
深证成指,10309.12,-33.730,-0.33,3946076,527275,2018-05-03,09:31:28
深证成指,10311.72,-31.129,-0.30,4085356,545632,2018-05-03,09:31:33
深证成指,10310.78,-32.067,-0.31,4225109,564339,2018-05-03,09:31:38
深证成指,10310.02,-32.827,-0.32,4289258,572525,2018-05-03,09:31:43
深证成指,10310.28,-32.563,-0.31,4419344,590973,2018-05-03,09:31:48
深证成指,10308.74,-34.110,-0.33,4552706,608724,2018-05-03,09:31:53
深证成指,10309.73,-33.118,-0.32,4612737,617716,2018-05-03,09:31:58
深证成指,10308.82,-34.025,-0.33,4734246,634731,2018-05-03,09:32:03
深证成指,10309.10,-33.743,-0.33,4866541,651708,2018-05-03,09:32:08
深证成指,10309.25,-33.595,-0.32,4940108,661528,2018-05-03,09:32:13
深证成指,10307.49,-35.358,-0.34,5085965,681206,2018-05-03,09:32:18
深证成指,10306.09,-36.753,-0.36,5215659,700294,2018-05-03,09:32:23
深证成指,10304.34,-38.509,-0.37,5288706,711290,2018-05-03,09:32:28
深证成指,10304.56,-38.282,-0.37,5426965,730883,2018-05-03,09:32:33
深证成指,10304.49,-38.353,-0.37,5563659,749860,2018-05-03,09:32:38
深证成指,10304.19,-38.657,-0.37,5629872,758483,2018-05-03,09:32:43
深证成指,10301.90,-40.949,-0.40,5759361,776688,2018-05-03,09:32:48
