指数名称,当前点数,当前价格,涨跌率,成交量（手）,成交额（万元）,日期,时间
上证指数,3081.1717,-0.0056,-0.00,0,0,2018-05-03,09:25:24
上证指数,3074.5165,-6.6608,-0.22,8890,128400,2018-05-03,09:30:03
上证指数,3072.6949,-8.4824,-0.28,16648,228230,2018-05-03,09:30:08
上证指数,3072.8075,-8.3698,-0.27,18150,247952,2018-05-03,09:30:13
上证指数,3073.3067,-7.8706,-0.26,18866,257018,2018-05-03,09:30:18
上证指数,3073.4659,-7.7114,-0.25,19516,265505,2018-05-03,09:30:23
上证指数,3072.8466,-8.3307,-0.27,20168,272859,2018-05-03,09:30:28
上证指数,3072.8107,-8.3666,-0.27,21046,285290,2018-05-03,09:30:33
上证指数,3073.0622,-8.1151,-0.26,21913,297550,2018-05-03,09:30:38
上证指数,3072.5465,-8.6308,-0.28,22586,306836,2018-05-03,09:30:43
上证指数,3072.0009,-9.1764,-0.30,23603,319388,2018-05-03,09:30:48
上证指数,3071.0721,-10.1052,-0.33,24310,330504,2018-05-03,09:30:53
上证指数,3070.7265,-10.4508,-0.34,25099,341136,2018-05-03,09:30:58
上证指数,3070.1648,-11.0125,-0.36,26011,353166,2018-05-03,09:31:03
上证指数,3070.1087,-11.0686,-0.36,26824,364542,2018-05-03,09:31:08
上证指数,3069.9680,-11.2093,-0.36,27446,372999,2018-05-03,09:31:13
上证指数,3069.8634,-11.3139,-0.37,28581,387678,2018-05-03,09:31:18
上证指数,3069.2366,-11.9407,-0.39,29361,399302,2018-05-03,09:31:23
上证指数,3069.2497,-11.9276,-0.39,29994,408072,2018-05-03,09:31:28
上证指数,3069.6144,-11.5629,-0.38,30995,421862,2018-05-03,09:31:33
上证指数,3069.0841,-12.0932,-0.39,31753,432553,2018-05-03,09:31:38
上证指数,3069.3421,-11.8352,-0.38,32520,441725,2018-05-03,09:31:43
上证指数,3069.4412,-11.7361,-0.38,33525,454891,2018-05-03,09:31:48
上证指数,3069.2319,-11.9454,-0.39,34241,466164,2018-05-03,09:31:53
上证指数,3069.2745,-11.9028,-0.39,34890,474499,2018-05-03,09:31:58
上证指数,3069.2236,-11.9537,-0.39,35909,489704,2018-05-03,09:32:03
上证指数,3068.4222,-12.7551,-0.41,36674,501392,2018-05-03,09:32:08
上证指数,3069.1640,-12.0133,-0.39,37268,510307,2018-05-03,09:32:13
上证指数,3069.2900,-11.8873,-0.39,38286,524998,2018-05-03,09:32:18
上证指数,3068.5927,-12.5846,-0.41,39089,536979,2018-05-03,09:32:23
上证指数,3068.7984,-12.3789,-0.40,39776,545815,2018-05-03,09:32:28
上证指数,3068.4875,-12.6898,-0.41,40932,560233,2018-05-03,09:32:33
上证指数,3068.4712,-12.7061,-0.41,41680,571381,2018-05-03,09:32:38
上证指数,3068.4099,-12.7674,-0.41,42664,585705,2018-05-03,09:32:43
上证指数,3068.8401,-12.3372,-0.40,43246,592929,2018-05-03,09:32:48
上证指数,3069.0059,-12.1714,-0.40,44120,605789,2018-05-03,09:32:53
上证指数,3068.8390,-12.3383,-0.40,44896,616601,2018-05-03,09:32:58
上证指数,3068.4397,-12.7376,-0.41,45464,624301,2018-05-03,09:33:04
上证指数,3068.1058,-13.0715,-0.42,46311,636149,2018-05-03,09:33:09
上证指数,3068.8302,-12.3471,-0.40,47128,647680,2018-05-03,09:33:14
上证指数,3068.4143,-12.7630,-0.41,47787,657059,2018-05-03,09:33:19
上证指数,3068.3848,-12.7925,-0.42,48641,668730,2018-05-03,09:33:24
上证指数,3067.8872,-13.2901,-0.43,49402,680105,2018-05-03,09:33:29
上证指数,3068.0561,-13.1212,-0.43,50042,688120,2018-05-03,09:33:34
上证指数,3068.0561,-13.1212,-0.43,50042,688120,2018-05-03,09:33:39
上证指数,3067.5599,-13.6174,-0.44,51816,713841,2018-05-03,09:33:44
上证指数,3067.7288,-13.4485,-0.44,52561,722642,2018-05-03,09:33:49
上证指数,3067.2307,-13.9466,-0.45,53502,736822,2018-05-03,09:33:54
上证指数,3067.3617,-13.8156,-0.45,54476,749665,2018-05-03,09:33:59
上证指数,3067.0392,-14.1381,-0.46,55077,756822,2018-05-03,09:34:04
上证指数,3066.9835,-14.1938,-0.46,55890,768539,2018-05-03,09:34:09
上证指数,3067.5173,-13.6600,-0.44,56722,780116,2018-05-03,09:34:14
上证指数,3068.0020,-13.1753,-0.43,57376,788334,2018-05-03,09:34:19
上证指数,3068.2254,-12.9519,-0.42,58338,802235,2018-05-03,09:34:24
上证指数,3068.3254,-12.8519,-0.42,59131,813439,2018-05-03,09:34:29
