,,,,,,,,,,,,,,,,,,,,,,,,,,,,今开,,最高,成交量,最低,,,,,,市盈率,,,,,市净,,流通市值,总市值,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
2,977,浪潮信息,22.49,22.48,22.47,22.46,22.45,22.5,22.51,22.55,22.58,22.59,150,345,33,86,373,601,1,2,14,144,25.47,20.84,22.5,22.82,-0.65,23.11,-2.81,23.27,144660,22.45,42,23.15,3.30亿,0.78,1.13,131.91,49304,95355,12.86,225,4,2,28892471040,29008173848,0|0|0|0|0,0|0|0|0|0,2018/5/18 12:56,3.54,-,-
